Sample #,Fx,Fy,Fz,Mx,My,Mz,RTA,RSO,LTA,LSO,GO
7074,0,0,0,0,0,0,-0.11118,-0.014952,0.028404,0.098928,0.001747
7075,0,0,0,0,0,0,-0.096228,-0.007628,0.033515,0.050596,0.001595
7076,0,0,0,0,0,0,-0.011314,-0.000952,0.023597,-0.117517,0.001671
7077,0,0,0,0,0,0,-0.066969,0.017511,0.024093,-0.152613,0.001823
7078,0,0,0,0,0,0,-0.037139,0.031397,0.03218,-0.241457,0.0019
7079,0,0,0,0,0,0,0.001428,0.008776,0.012611,-0.182635,0.001671
7080,0,0,0,0,0,0,-0.02928,-0.012167,-0.002495,-0.08353,0.000832
7081,0,0,0,0,0,0,-0.030005,-0.008581,-0.001999,-0.107905,0.001366
7082,0,0,0,0,0,0,-0.095427,0.00931,-0.001999,-0.154253,0.001213
7083,0,0,0,0,0,0,-0.192777,0.009501,-0.018174,-0.095851,0.000412
7084,0,0,0,0,0,0,-0.095008,0.012705,0.002082,-0.027835,0.004608
7085,0,0,0,0,0,0,0.024201,-0.004766,0.011085,-0.005023,0.001671
7086,0,0,0,0,0,0,0.203301,-0.002325,0.003685,-0.006968,0.000946
7087,0,0,0,0,0,0,0.113848,-0.02384,0.012382,0.004323,0.002205
7088,0,0,0,0,0,0,0.027559,-0.022429,0.009597,-0.046793,0.002052
7089,0,0,0,0,0,0,0.102899,-0.01705,-0.009285,-0.055453,0.000793
7090,0,0,0,0,0,0,0.127466,-0.016668,-0.029503,-0.046336,0.001747
7091,0,0,0,0,0,0,0.060442,-0.011061,-0.021988,-0.027873,0.002205
7092,0,0,0,0,0,0,-0.018751,-0.004042,-0.027405,-0.00857,0.001137
7093,0,0,0,0,0,0,-0.041258,0.011598,-0.039956,0.012258,0.001556
7094,0,0,0,0,0,0,-0.06468,0.027506,-0.03492,0.018094,0.001442
7095,0,0,0,0,0,0,-0.073836,0.015261,-0.033852,0.034955,0.001556
7096,0,0,0,0,0,0,-0.050643,0.003397,-0.026566,0.034078,0.001099
7097,0,0,0,0,0,0,-0.004256,-0.011709,-0.02298,0.032362,0.001404
7098,0,0,0,0,0,0,0.017946,-0.022505,-0.025612,0.030111,0.002357
7099,0,0,0,0,0,0,0.043351,-0.004347,-0.018517,0.031179,0.003349
7100,0,0,0,0,0,0,0.044191,0.004999,0.00666,0.029615,0.002319
7101,0,0,0,0,0,0,0.04751,0.01198,0.021652,0.029386,0.001251
7102,0,0,0,0,0,0,0.058725,0.008776,0.019668,0.00089,0.000984
7103,0,0,0,0,0,0,0.005472,0.00107,-0.006005,-0.002314,0.004074
7104,0,0,0,0,0,0,-0.015051,-0.019949,-0.002343,0.015043,0.000221
7105,0,0,0,0,0,0,-0.022681,-0.020254,-0.006997,0.01367,0.000603
7106,0,0,0,0,0,0,-0.001395,0.004083,-0.017182,0.031255,0.001862
7107,0,0,0,0,0,0,-0.023291,0.007097,-0.028855,-0.020281,0.000259
7108,0,0,0,0,0,0,-0.06037,-0.001028,-0.031067,-0.046221,0.001289
7109,0,0,0,0,0,0,-0.00151,-0.002439,-0.027825,-0.039317,0.001823
7110,0,0,0,0,0,0,0.01909,-0.014418,-0.019394,0.023397,0.002243
7111,0,0,0,0,0,0,-0.008452,-0.017813,-0.021607,0.033849,0.001518
7112,0,0,0,0,0,0,-0.011275,-0.004309,-0.012261,0.015539,0.002052
7113,0,0,0,0,0,0,-0.003645,-0.001219,-0.005433,0.045827,0.001022
7114,0,0,0,0,0,0,0.009401,-0.006292,-0.012719,0.034078,0.002357
7115,0,0,0,0,0,0,0.007341,-0.004423,-0.019661,-0.006663,0.001137
7116,0,0,0,0,0,0,0.00406,0.003282,-0.004288,-0.062586,0.000908
7117,0,0,0,0,0,0,0.000246,-0.003279,0.020889,-0.042369,0.000717
7118,0,0,0,0,0,0,0.003755,-0.00099,0.012191,0.036023,0.001366
7119,0,0,0,0,0,0,0.006807,0.009157,0.020011,0.004667,0.002014
7120,0,0,0,0,0,0,0.001771,-0.000952,0.004295,-0.013949,0.001175
7121,0,0,0,0,0,0,-0.004408,-0.008772,-0.016152,-0.027796,0.001404
7122,0,0,0,0,0,0,-0.003684,-0.003431,-0.023972,-0.016162,-0.002029
7123,0,0,0,0,0,0,0.008676,-0.007513,-0.021035,-0.011164,0.002281
7124,0,0,0,0,0,0,0.004823,-0.006178,0.002349,-0.027949,0.00209
7125,0,0,0,0,0,0,0.010774,0.000574,0.008033,-0.040308,0.003807
7126,0,0,0,0,0,0,0.005395,-0.001905,0.003799,-0.002887,0.001213
7127,0,0,0,0,0,0,-0.004561,0.005648,0.001358,0.036023,0.001556
7128,0,0,0,0,0,0,-0.000517,-0.002973,0.008453,0.038351,0.002548
7129,0,0,0,0,0,0,0.003717,0.001108,0.005325,0.022291,0.001404
7130,0,0,0,0,0,0,0.000169,-0.006521,0.001777,-0.000864,0.001595
7131,0,0,0,0,0,0,-0.000823,-0.004004,-0.002991,-0.011889,0.000908
7132,0,0,0,0,0,0,-0.004408,0.013697,-0.01371,0.018361,0.001976
7133,0,0,0,0,0,0,-0.007842,0.006029,-0.000092,0.023626,0.001709
7134,0,0,0,0,0,0,-0.013297,0.001719,-0.001122,0.00871,0.001595
7135,0,0,0,0,0,0,-0.012839,0.00107,-0.00116,0.008367,0.002548
7136,0,0,0,0,0,0,-0.012572,0.001566,-0.002038,0.007719,0.001442
7137,0,0,0,0,0,0,-0.012496,0.001413,-0.001503,0.008062,0.001442
7138,0,0,0,0,0,0,-0.012343,0.001261,-0.001313,0.00768,0.002205
7139,0,0,0,0,0,0,-0.011351,0.001108,-0.002152,0.007337,0.0019
7140,0,0,0,0,0,0,-0.011809,0.001032,-0.002762,0.006727,0.002243
7141,0,0,0,0,0,0,-0.013869,-0.001257,0.011543,0.085957,0.000641
7142,0,0,0,0,0,0,-0.010169,0.000154,0.002807,0.106405,0.001518
7143,0,0,0,0,0,0,-0.021651,0.002977,0.009063,0.094274,0.002052
7144,0,0,0,0,0,0,-0.013564,0.006144,0.001854,0.040296,0.002281
7145,0,0,0,0,0,0,-0.007575,0.017015,0.005783,0.006422,0.001251
7146,0,0,0,0,0,0,-0.005858,0.014078,0.018714,-0.036875,0.001518
7147,0,0,0,0,0,0,0.000093,0.012362,0.02024,-0.097338,0.000793
7148,0,0,0,0,0,0,-0.003264,0.00458,0.014251,-0.080363,0.00209
7149,0,0,0,0,0,0,-0.006545,0.003931,0.029891,-0.098292,0.001328
7150,0,0,0,0,0,0,-0.003302,0.002558,0.032905,-0.058619,0.001709
7151,0,0,0,0,0,0,0.002992,0.001986,0.020584,0.026219,0.002472
7152,0,0,0,0,0,0,-0.000861,-0.001257,0.021232,0.069402,0.000832
7153,0,0,0,0,0,0,-0.002577,-0.005758,0.01612,0.051016,0.001442
7154,0,0,0,0,0,0,-0.003264,-0.003317,0.001892,0.034765,0.002167
7155,0,0,0,0,0,0,-0.001585,0.000116,-0.008103,-0.000178,0.001518
7156,0,0,0,0,0,0,-0.008337,0.000727,-0.011612,-0.05633,0.001862
7157,0,0,0,0,0,0,-0.004218,0.011522,-0.009972,-0.114656,0.002052
7158,0,0,0,0,0,0,0.004365,0.01652,-0.0094,-0.049235,0.0019
7159,0,0,0,0,0,0,-0.00109,0.013277,-0.010582,0.010694,0.002014
7160,0,0,0,0,0,0,-0.006545,0.004694,-0.013558,-0.033213,0.002281
7161,0,0,0,0,0,0,-0.006087,0.002062,-0.013138,-0.084787,-0.00016
7162,0,0,0,0,0,0,-0.013945,-0.006445,-0.001389,-0.034663,0.000412
7163,0,0,0,0,0,0,-0.008185,-0.010412,-0.013596,0.033238,0.002548
7164,0,0,0,0,0,0,0.008333,0.001985,-0.029312,0.009016,0.001251
7165,0,0,0,0,0,0,-0.004179,0.001909,-0.032021,0.016988,0.001289
7166,0,0,0,0,0,0,-0.005286,-0.010107,-0.028397,-0.0199,0.00045
7167,0,0,0,0,0,0,0.001314,-0.012358,-0.031868,-0.047594,0.001022
7168,0,0,0,0,0,0,0.00036,-0.012091,-0.030266,-0.037829,0.001747
7169,0,0,0,0,0,0,0.001314,-0.011213,-0.030381,0.026067,0.002052
7170,0,0,0,0,0,0,0.000474,-0.012014,-0.029351,0.135739,0.000603
7171,0,0,0,0,0,0,0.000551,-0.010794,-0.028321,0.23473,0.003349
7172,0,0,0,0,0,0,0.000513,-0.009878,-0.028092,0.225805,0.000984
7173,0,0,0,0,0,0,-0.008681,-0.004538,-0.0094,0.241788,0.001556
7174,0,0,0,0,0,0,-0.024855,-0.002707,0.029052,0.178541,0.002434
7175,0,0,0,0,0,0,-0.02249,-0.003584,0.026687,0.027632,0.000717
7176,0,0,0,0,0,0,0.000818,-0.010641,0.021537,-0.186028,0.001251
7177,0,0,0,0,0,0,0.004556,-0.001295,-0.000626,-0.239245,0.001251
7178,0,0,0,0,0,0,-0.004218,0.002596,0.015243,-0.124805,0.001938
7179,0,0,0,0,0,0,-0.001929,-0.001677,0.035079,-0.091426,0.00106
7180,0,0,0,0,0,0,-0.006354,-0.004766,0.020202,-0.062091,0.002205
7181,0,0,0,0,0,0,0.033242,-0.007513,0.000671,-0.02566,0.001251
7182,0,0,0,0,0,0,0.033472,-0.009916,-0.008484,-0.002276,-0.000732
7183,0,0,0,0,0,0,0.037668,-0.012892,-0.012795,-0.078836,0.000984
7184,0,0,0,0,0,0,0.032861,-0.002745,-0.042168,-0.124384,0.002052
7185,0,0,0,0,0,0,0.01539,0.001451,-0.031907,-0.116602,0.002396
7186,0,0,0,0,0,0,-0.030195,-0.005224,-0.010277,-0.102564,-0.000694
7187,0,0,0,0,0,0,-0.061781,-0.000952,0.015472,0.02641,0.001404
7188,0,0,0,0,0,0,-0.053923,0.002367,0.031417,0.16679,0.001785
7189,0,0,0,0,0,0,-0.042708,-0.000303,0.02909,0.159124,0.001404
7190,0,0,0,0,0,0,-0.023291,-0.000189,0.025123,0.101446,0.001213
7191,0,0,0,0,0,0,-0.023596,0.003702,0.012306,0.042318,0.00045
7192,0,0,0,0,0,0,-0.010932,-0.003393,0.001396,-0.070825,0.001175
7193,0,0,0,0,0,0,0.039918,-0.003698,-0.032479,-0.121981,0.001327
7194,0,0,0,0,0,0,0.116822,-0.005339,-0.044266,-0.086543,0.001289
7195,0,0,0,0,0,0,0.152414,-0.010794,-0.027062,-0.026271,0.002129
7196,0,0,0,0,0,0,0.214479,-0.008085,-0.006158,0.003942,0.001747
7197,0,0,0,0,0,0,0.167482,-0.004919,-0.001999,0.030721,0.001289
7198,0,0,0,0,0,0,-0.03687,-0.019987,-0.014054,-0.008227,0.000679
7199,0,0,0,0,0,0,-0.246487,-0.023954,-0.007912,-0.116296,0.001251
7200,0,0,0,0,0,0,-0.242064,-0.024832,0.003456,-0.127398,0.000908
7201,0,0,0,0,0,0,-0.236571,-0.01335,0.024741,-0.016162,0.000221
7202,0,0,0,0,0,0,-0.230353,0.003969,0.03218,0.00459,0.000565
7203,0,0,0,0,0,0,-0.223601,0.022508,0.017494,0.080464,0.001213
7204,0,0,0,0,0,0,-0.219023,0.004542,0.023139,0.237248,0.003006
7205,0,0,0,0,0,0,-0.21353,0.007174,0.027069,0.11579,0.002167
7206,0,0,0,0,0,0,-0.392018,0.009424,0.022033,-0.035234,0.001556
7207,0,0,0,0,0,0,-0.380538,0.008776,-0.005814,-0.131174,0.006821
7208,0,0,0,0,0,0,-0.256752,0.001337,-0.019966,-0.154673,0.002205
7209,0,0,0,0,0,0,-0.10218,0.006144,-0.056092,-0.186411,0.001785
7210,0,0,0,0,0,0,0.036217,0.008852,-0.084549,-0.138575,0.001099
7211,0,0,0,0,0,0,0.098168,0.007593,-0.058762,-0.026882,0.001366
7212,0,0,0,0,0,0,0.098894,-0.005377,-0.005776,0.006994,0.000755
7213,0,0,0,0,0,0,0.150621,-0.00778,0.048888,0.06017,0.002815
7214,0,0,0,0,0,0,0.2659,0.005114,0.081733,0.161984,0.002243
7215,0,0,0,0,0,0,0.155123,0.005304,0.079826,0.200971,0.001213
7216,0,0,0,0,0,0,-0.064183,0.017282,0.063804,0.125326,0.001823
7217,0,0,0,0,0,0,-0.176412,0.023691,0.0392,0.022673,0.001137
7218,0,0,0,0,0,0,-0.147765,0.017817,0.009483,-0.055109,0.001595
7219,0,0,0,0,0,0,-0.055297,0.021822,-0.013672,-0.149561,0.000984
7220,0,0,0,0,0,0,0.113541,0.028078,-0.028206,-0.172068,0.001747
7221,0,0,0,0,0,0,0.162522,0.006487,-0.018097,-0.055263,0.00293
7222,0,0,0,0,0,0,0.112551,0.004465,-0.029389,0.078289,0.001404
7223,0,0,0,0,0,0,0.169084,0.015528,-0.039345,0.176327,-0.000504
7224,0,0,0,0,0,0,0.169351,0.013735,-0.034768,0.169195,0.000603
7225,0,0,0,0,0,0,0.068568,0.004618,-0.032784,0.115866,0.00106
7226,0,0,0,0,0,0,0.008371,0.000917,-0.00322,0.15138,0.001099
7227,0,0,0,0,0,0,0.044,0.00107,0.018409,0.058302,0.002624
7228,0,0,0,0,0,0,0.036829,-0.011862,0.019096,-0.067583,-0.00264
7229,0,0,0,0,0,0,0.02794,-0.004461,0.022224,-0.088488,0.001099
7230,0,0,0,0,0,0,0.048883,-0.006216,0.00727,-0.06911,0.001785
7231,0,0,0,0,0,0,0.03084,-0.023878,-0.000512,-0.114962,0.002853
7232,0,0,0,0,0,0,0.123193,-0.020826,0.010131,-0.056292,0.0019
7233,0,0,0,0,0,0,0.093515,-0.026091,0.01696,-0.06209,0.000793
7234,0,0,0,0,0,0,0.034235,-0.025137,0.033363,-0.079409,0.002205
7235,0,0,0,0,0,0,0.018633,-0.019415,-0.015732,-0.023143,0.001213
7236,0,0,0,0,0,0,-0.007384,-0.006674,-0.05056,0.019811,0.001556
7237,0,0,0,0,0,0,-0.005667,-0.014456,-0.013139,-0.048624,0.000603
7238,0,0,0,0,0,0,0.005472,-0.010908,-0.002228,-0.12858,-0.001572
7239,0,0,0,0,0,0,0.00509,-0.014074,0.004753,-0.033061,0.000755
